commit_id,changed_file,test_name,test_failed
1,payment.py,test_payment,1
1,payment.py,test_payment_refund,1
1,payment.py,test_checkout,0
1,payment.py,test_login,0
2,auth.py,test_login,1
2,auth.py,test_logout,1
2,auth.py,test_password_reset,1
2,auth.py,test_payment,0
3,cart.py,test_cart,1
3,cart.py,test_checkout,1
3,cart.py,test_payment,0
3,cart.py,test_login,0
4,products.py,test_product_search,1
4,products.py,test_product_details,1
4,products.py,test_cart,0
4,products.py,test_login,0
5,user.py,test_profile,1
5,user.py,test_password_reset,0
5,user.py,test_login,0
5,user.py,test_payment,0
6,payment.py,test_payment,1
6,payment.py,test_payment_refund,1
6,payment.py,test_checkout,1
6,payment.py,test_cart,0
7,auth.py,test_login,1
7,auth.py,test_logout,0
7,auth.py,test_password_reset,1
7,auth.py,test_profile,0
8,cart.py,test_cart,1
8,cart.py,test_checkout,1
8,cart.py,test_payment,1
8,cart.py,test_login,0
9,products.py,test_product_search,1
9,products.py,test_product_details,0
9,products.py,test_cart,0
9,products.py,test_profile,0
10,user.py,test_profile,1
10,user.py,test_login,1
10,user.py,test_password_reset,0
10,user.py,test_payment,0
